tweet,label
RT @OGMarcusC: I hate stereotypes. Preconceived notions that black men are athletes or criminals.. Black women are ghetto and confined to t&#8230;,neither
Have they seen Planet of the Apes &#8220;@WhatTheFFacts: Brazil has the highest number of monkey species of any nation in the world with 116.&#8221;,neither
@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,hate speech
young buck wanna eat!!.. dat nigguh like I aint fuckin dis up again,offensive
Lemme find out that bitch nigga talking shit,hate speech
"Female Jihadis, European &amp; American: GRAVE Dangers! - Joe For America http://t.co/9hkpdwq7VR via @mattwalshblog",neither
@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,hate speech
RT @bansky: LeBron doesn't turn 30 til december. he made 5 trips faster than kobe shaq mike or bird. he'll be back yal act like hes retirin&#8230;,neither
Look at you.. Now look at us.. All my niggas look pussy as fuck,offensive
RT @ABCbirds1: #Neonics are deadly to #birds like the American Kestrel and #bees. Ask @Lowes to take it off their shelves. #EcoWed http://t&#8230;,neither
Fine I'll settle for an Oreo milkshake,neither
dem niggas ca have them white hoes.... I love my beautiful black sistas....,hate speech
@Taylor_1017 faggot,hate speech
@rochaaxx yellow,neither
"@coughlan616 Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite.",hate speech
You're a faggot if you use the cover your face emoji,hate speech
@hunterbuch66 @kieffer_jason @sbsylvester my bitch doesn't even know you so wtf r u talking about nigga stop fucking dreaming,offensive
I'm about to jog higher this stupid bitch ass hoe @mf saab1@t_jawad89 @,offensive
RT @OTBVA: mook gon wi 3-0 but this battle is bad,neither
@CaptElliott NFN you bitch to much.,offensive
"@Misplaced_Momma 
She be what we say in da hood white trash",hate speech
"Omg he's at it again. He's the most pathetic, spineless, no balls having piece of trash on twitter I've ever seen. Let me go throw up, blah.",offensive
"I named my penis ""The Truth"" because bitches can't handle it.",offensive
@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,hate speech
Kick dem fucc niccas out da spot,hate speech
my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.,hate speech
@trestiffer &amp; @Rhyds_herrrrrr had me so high off the monkey nutts yesterday nbs &#128532;&#128532;&#128518;&#128518;&#128526;&#128526;&#128548;&#127809;&#127811;&#127807;&#127807;,offensive
"RT @Hi_Niamani: ""@clemheem: Me and my grandma got to tweakin hoe https://t.co/OoD1r2WVu6""she turnt",offensive
"RT @FaZeDedo: To the rejects who constantly call my house and are threatening to rape my mom, karma's a bitch. Rot in hell, faggots.",hate speech
"RT @SpaceCatPics: Meow, bitches",offensive
@vinny2vicious faggot I knew you weren't really my friend.,hate speech
I like Rivers he talks a lot of trash you can tell he loves the game,neither
Drop dead gorgeous but the bitch ain't dying for a nigga,offensive
@pyroballyPOOPS 6-1 bitch dont hate,offensive
@georgiathenewsa @Rosaalbae your tits may be better looking but her face makes you like a Asian or Latina tranny #facts,hate speech
I'm saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these bitches tho,offensive
pregnant at the same time and bitches think that's cute,offensive
RT @YoShortyMa: I'll kill this bitch no hesitation http://t.co/UxePa9LVi5,hate speech
White bus drivers are all white trash. #LosAngeles,hate speech
&#8220;@DJZeeti: RT @DJZeeti: Black bitches turn 60 buy a hat and act like Jesus forgot they was fucking niggas in the park&#8221; LOOOOOL,offensive
They say one man's trash is the next man's treasure. Where one finds pain the next might find pleasure.,neither
"Youre a fucking ugly bitch, I wanna stab you to death and then play around with your blood -Patrick Bateman",hate speech
RT @michellemalkin: Mass. GOP Gov.-elect Charlie Baker: No driver's licenses for illegal aliens ==&gt; http://t.co/3vkLYmJWjS #NoAmnesty,neither
in real life and online I follow that. sorry folks but just cause I look like a border hopper don't mean I am one. born and raised here,hate speech
".@dawnbazely Thank you, Dawn. I see our state bird graces your avatar...",neither
"RT @trentlilweezy: ""you are trash""

me: http://t.co/nX2tqImO2a",hate speech
Bitch you're the ugliest cunt ever.,hate speech
@xZimpx @Prophzilla This is Twitter. Not only are you a fag but you're also retarded.,hate speech
RT @RosieZaya1: Ur fucking white trash,hate speech
RT @jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot http://&#8230;,hate speech
Something funny here? RT @Peachpapayya: &#128514;&#128514;&#128514; RT @MidCityAce: Control your excitement sir... &#8220;@11wdNICK: Lets gooooo Teena bitch!!!&#8221;,offensive
"RT @MrCouture: I have so many questions about that sex tape. I love love LOVE me some Mimi and if that thirsty dude releases it, he's trash&#8230;",neither
@whoswilly white boy talmbout Ight I'll see you tomorrow at school nigger,hate speech
RT @_tiffnasty: Why do y'all niggas entertain that Nicole bitch? I don't see how y'all can ever take a bitch that posted naked pics serious&#8230;,hate speech
@Huntermoore bout to be in ike a couple hours,neither
"RT @IAmNiaRich: Nigga screamed like a Lil bitch lol 

https://t.co/b1qBnDPxdv",hate speech
them jants be clutch for bedtime tho &#128514;&#128557;,neither
"RT @delphrano: Berto couldn't KO this dude who wanted to get KO'd&#8230;Berto's trash, Upsher's trash, that fight was trash. #BronerTaylor #Boxing",neither
Got chunky marmalade today of a greatful customer for my service over the past 2 yrs #PostieTweet #ServiceMatters http://t.co/pSEnGvyxrw,neither
@Buckm00se all us beaners were pissed like robert when the jew ref stopped it,hate speech
RT @IsaidNick: niggers are so ignorant http://t.co/P9jDdVsRVb,hate speech
RT @Woody_AFC: I saw a great chimpout 2 summers ago. A middle aged Salvadoran and his 15 Yr old son got wasted by 6 beaners at the metlife &#8230;,hate speech
"People who enjoy shows like @SouthPark and @FamilyGuyonFOX are douche bags. Usually white trash, too.",hate speech
RT @JEN_JEN_2014: My old man has a white galaxy phone cuz he's a fag.,hate speech
@gezus__ die in a car accident then faggot,hate speech
f u tumblr bc my blog is black &amp; white but there's so many great colored things I could reblog fml,neither
"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",hate speech
RT @MIKEB_IN_THE_D: @_thomkins_ I got 11 nuggets this time bitch. #CouldntBeHappier,offensive
"Hate a hoe that think relationships are seasonal.. ""Winter comin, Let me get me a boyfriend"".. Sound dumb as hell..",offensive
